gander	ガチョウ･ガンの雄|ちらっと見ること
bastille	牢獄|小さい砦|防御塔
exterminate	絶滅する
sizzle	ジュージューという音(をたてる)
traceable	跡をたどれる|起源を発する|帰せられる
patina	緑青|青さび
buttercup	キンポウゲ(春に美しい花をつける植物)
reversion	逆転|復帰|隔世遺伝|復帰財産|相続権
invariance	不変性|不変性
aspartate	アスパラギン酸塩
tsar	旧ロシア皇帝の称|皇帝(= czar)
darkly	暗く|陰気に|険悪に|暗中に|ぼんやりと|神秘的に|ひそかに|そっと
faithfulness	忠実|誠実|貞節|信心深さ
clergyman	聖職者|牧師
resourceful	機知に富んだ
pleural	胸膜の
heraldry	〈U〉紋章学|〈C〉紋章
incomparable	比類のない
sidewinder	サイドワインダー(蛇の一種の名)
finisher	フィニッシャー|決着をつける人
mademoiselle	(仏語)(呼びかけ)～嬢|令嬢|マドモアゼル|未婚女性の呼称(英語=miss)
triphosphate	三リン酸塩|Adenosine Triphosphate|ATP|生体内で燐酸 1分子が離れたり結合し|エネルギーの放出|貯蔵|物質の代謝|合成の役を果たすヌクレオチド
tine	フォーク･くしなどの歯|鹿の角|シカの角の枝
anthropogenic	of or relating to the study of the origins and development of human beings
sunspot	太陽黒点|《英話》避寒地
constitutionality	合憲性
macroscopic	巨視的
viscount	子爵
geopolitical	地政学的
decibel	デシベル
chipmunk	シマリス(北米産でsquirrelより小さい)
duce	首領|指導者|指揮官
weevil	ゾウムシ
adamant	非常に堅い|頑固な|鋼石の|意志の固い|アダマント(伝説上の絶対に砕けない物質のこと)
helicobacter	ヘリコバクター･ピロリ(Helicobacter pylori)菌|胃内のらせん型のグラム陰性菌|ヘリコは旋回|バクターはバクテリア(細菌)|ピロリは胃の出口(幽門)の「ピロルス｣に由来
phenolic	石炭酸樹脂|フェノール樹脂
numeral	卒業年度の数字|数字|数詞|数の
vernal	春の|春に起こる|青春の|生き生きとした
myeloid	骨髄
tennyson	テニソン
rubicon	ルビコン|帰還不能限界点
