petite	(女性が)小柄な|小柄でこぎれいな|小柄で均整のとれた
suburban	偏狭な|郊外の
prosecution	起訴|告発|検察当局|遂行|実行|追求
clutch	を掴む|にしがみつく|把握|クラッチ|ピンチ
booster	昇圧器
widow	未亡人|余分の手札|未亡人になる
proudly	高慢に|威張って|堂々と|立派に
pix	写真|絵|(pic=picture)の複数形
obesity	(医)肥満|肥満体
closet	密談させる|戸棚|人に知られていない|隠れた
fracture	骨折する|骨折|破砕する|割れ|砕け|破砕(する)|破る
enroll	登録する|名簿に記載する|会員にする|enrol
hike	ハイキングをする|引き上げる|値上げする|increase|raise
cleanup	掃除|一掃|浄化運動|(俗)大もうけ|4番打者(の)
hepatitis	肝炎
maiden	少女|未婚の|初めての|処女
nationally	全国的に
tomato	トマト|女|娘
peptide	ペプチド|決まった順番で様々なアミノ酸がつながった分子
heal	なおす|治す|いやす|救う|いえる|治る|治癒する
imply	を(暗に)意味する|ほのめかす
unwrap	包装を解く
sic	(疑わしいまたは誤った文章を) 原文のまま引用
trauma	精神的外傷|精神的ショック|(日常生活に支障を生じるような)深い心の傷
surrender	降伏(する)|を放棄する|引き渡し|明渡し(する)|自首
impairment	(価値･美点･健康を)減じる|害する|そこなう|傷つける
bacterial	バクテリアの
continuously	連続して|引き続き
strawberry	イチゴ(色)
liaison	つなぎ|連結|連絡|連絡窓口|連絡係|密通
gage	質|抵当
substitution	置き換え|代用|代用品
painful	痛い|骨の折れる|苦しい|切ない
examiner	試験官
nowhere	どこにも～ない|どこにもない場所
residual	残余の|剰余の|残りの
lime	わなをかける|石灰|石灰をまく|ライム果|シナノキ|鳥もち
distress	苦しめる|苦痛|苦悩|困窮|遭難
lately	近ごろ|最近
hypothetical	仮定上の|仮定の|仮想の|仮説の
vein	調子|静脈|血管|葉脈|木目|鉱脈|地下水脈|筋をつける
forgive	許す|借金を帳消しにする
dense	密集した|濃密な|深い|鈍い|濃厚な|緻密な|濃い
likewise	その上に|さらに|同様に
vibration	心の動揺|振動する(させる)こと|動揺|(米俗)感じ
introductory	紹介の
councillor	(UK英)評議員(=councilor)
viewpoint	見解|見える地点|観点
gum	ゴム糊で張付ける|ゴム|生ゴム|チューインガム|ゴムのり|歯肉|歯ぐき
likelihood	ありそうなこと|見込み|有望さ|有りそうな事
denote	示す|表示する|のしるしである|意味する
tooth	歯|(複数形はteeth)|(食物の)好み
disciplinary	訓練上の|規律上の
paintball	ペイントボール|ペイントボール
sympathy	同情|賛成|共感|共鳴
affair	出来事|事務|仕事|問題|事件|事柄
beside	〜のそばで
expiration	満了|満期
playground	運動場|遊び場|行楽地|活動の場
pike	カワカマス|山頂|やり|ほこ|尖峰|やりやほこで殺す
complimentary	あいさつの|無料の
bisexual	両性愛の|両性具有の|雌雄両生の
contamination	堕落させるもの|汚すこと|よごれ|汚染|悪影響|汚染物
reimbursement	＜reimburse|弁償
concord	調和|一致|協定|(国家間の)意見の一致
pretend	ふりをする|make believe
hl	100リットル(=hectoliters)
unnecessary	不必要な|余計な|無益な|無用な
dramatically	劇的に
scrub	ごしごし洗う(こと)|ごしごし磨く(こと)|つまらぬ人|低木の雑木林
verb	動詞
peanut	ピーナッツ|詰まらない物(人)|ピーナッツ入りの|小さい子供
goddess	女神
forensic	法廷の|法廷で用いる|弁論の|討論の(polemic)
maid	少女|お手伝い|女中
threaten	をおどす|を脅迫する|をおびやかす
fatigue	疲労|疲労する
flour	小麦粉|粉末
tot	ちび|小児|子供|幼児|ちびっ子
conditioner	空調(冷暖房)装置
prosecutor	起訴者|検事|検察官
induce	勧誘する|人に勧めて～させる|を引き起こす|(反)exclude|除外する
scandal	スキャンダル|醜聞|恥ずべきこと
explode	爆発させる(する)|打破する|破裂する|感情が激発する|評判を覆す
peripheral	周辺の|末梢性の
negotiation	交渉|話し合い|(小切手など)譲渡|談判|流通
domino	ドミノ服(仮装舞踏会用)|ドミノ牌|(単数扱い)ドミノ(28の牌の点合わせ遊び)
regret	を後悔する|残念に思う|後悔|遺憾
confidentiality	信任の厚いこと|秘密性|機密主義|機密保持
electoral	選挙の
infringement	違反|違背|侵害
alternatively	二者択一的に|代りになるべき物として
hunger	空腹|飢え|飢饉|渇望
dinosaur	恐竜|大きすぎて役に立たない(時代遅れの)人(もの)
hatch	(ひなを)かえす|昇降口|孵化する|ハッチ|床窓
dissertation	論文|学位論文|学術論文
gently	育ちがよく|穏やかに|徐々に
spoon	スプーン
wan	青ざめた|病弱な|かすかな
intern	拘禁|抑留する|教育実習生|インターン
controversial	議論好きの|議論の|論争上の
erotica	エロティカ|性愛の文学作品
foil	くじく|裏をかく
feeder	飼養する者|食べる人|餌入れ|ほ乳瓶|原料供給装置|給電線|支線
skull	頭蓋骨|頭
voyage	航海|船旅|飛行|航海記|航海する|(海を)渡る
notable	注目に値する|著しい|著名な|名士|著名な事物
petitioner	原告|請願者
sedan	セダン|セダン型自動車
checker	照合係|(携帯品)一時預かり|レジ係|格子縞(にする)|色とりどりにする|チェッカー(ボードゲーム)
defensive	防御の
accelerate	の速度を速める|加速する|速める|促進する|増進する
pear	西洋ナシ|西洋梨
acknowledgement	(UK綴)承認|通知|自認|受取の通知|感謝|礼状|謝意
flasher	閃光を放つもの|点滅光|方向指示器|回転灯|露出狂
subaru	スバル(車名)
pouch	小袋|袋|を袋に入れる|ポーチ
blond	ブロンドの|金髪の
vanilla	バニラ|バニラの実|バニラエッセンス
peach	桃(の実)|桃色
chancellor	ドイツの首相
nucleus	細胞核|核|心|中軸
practitioner	開業医師|熟練家
flute	フルートを吹く|フルート(横笛)
securely	安全に|しっかりと
commence	を開始する|始まる|を始める
keeper	守る人
barcode	バーコード
trout	マス|鱒
derive	由来する|派生する|引き出す
din	騒ぎ|騒音
slate	石板|スレート(でふく)|候補に立てる|予定する(schedule)|酷評する
endless	絶え間のない
conditional	条件付きの|条件的な|(文法)条件文|条件語句(節･文)
arbor	高木|軸|あずまや
simulator	シミュレータ
bacon	『ベーコン』
buffet	打撃|(風波･運命の)翻弄|打つ|食器棚|ビュッフェ･立食
hometown	故郷の町|現在住んでいる町
kw	キロワット
exhibitor	出品人|奨学資金寄贈者
ethnicity	民族性
patron	(仏語)パトロン|守護聖人|ひいき客|後援者
circus	サーカス
tote	トート(ふたのない箱)|(口語)運ぶ|背負う|合計する(up)
sack	解雇(する)|袋(にいれる)|袋の中身|大袋
manipulation	操作|巧みな操作|市場操作|ごまかし|触診
nod	うとうとする|うなずく|うなずいて承諾･命令する|うなずき|黙礼
getaway	(犯人の)逃走|(車･競争の)スタート
temporarily	仮りに|仮に|当座|一時的に
orchid	蘭(の花)
replication	複製
endorse	裏書きする|保証する|推奨する|承認する|賛成する
tenure	在職期間|保有条件|保有期間|終身的地位
boyfriend	ボーイフレンド
fuzzy	ぼやけた|微毛のある|けばだった|縮れた|ファジー理論
spokesman	スポークスマン|代弁者
crib	ちっぽけな家|盗用|カンニングペーパー|カンニングする(和製英語)
carriage	乗り物|運搬|態度|4輪馬車
notation	表記法|記数法|表記|表示|注釈|記録|メモ
encompass	取り囲む|含む|包含する
breeze	そよそよ吹く|微風|そよ風|動揺
conductor	添乗員|(バス･電車などの)車掌|導線|伝導体|揮者
renovation	修復
dia	直径(diameter) cf. 半径(radius)
seq	Sequenceの短縮形|配列　他
relaxation	気晴らし|くつろぎ|息抜き|ゆるみ|弛緩|緩和
psychiatry	精神病学|精神医学|精神科
playback	録音(録画)再生(装置)
err	誤る(=error)
persistent	固執する|しつこい|持続する|永続的な|不屈の|頑固な|永続性の|不変の
terrier	テリヤ(犬種)
absorption	吸収|吸着|吸着量
helper	助力者
banquet	晩餐会|宴会
manifest	明白な|明らかな|明らかにする|乗客名簿
inventor	発明者|創案者
subtle	かすかな|難解な|微妙な|繊細な|敏感な|陰険な|薄い
magnificent	壮大な|壮麗な|雄大な|崇高な|すばらしい|堂々とした|立派な|格調高い
colleague	同僚|仲間
promptly	すぐに|敏速に|即座に|ぴったり
courtyard	中庭
harmful	害をおよぼす|有害な
prozac	プロザック|抗うつ剤(商品名)
inhibit	することを禁ずる|を抑制する|妨げる
reign	支配する|主権を握る|在位期間|治世|御代|支配|統治|君臨
solicitor	懇願者|事務弁護士|勧誘員|個別訪問の販売員
neon	ネオン(元素記号Ne)
glucose	ぶどう糖
squeeze	締めつける|を絞る|圧迫する|強制する|規制|圧搾
competence	能力|権限
neural	(解剖)神経の(系)の
compass	を巡る|を取り巻く|コンパス|周囲|羅針盤|範囲|限界|適度
inequality	でこぼこ|不同|不等|不均等|不適当
badly	ひどく|悪く
excitement	刺激|興奮
honeymoon	新婚旅行(をする)|蜜月(期間)
continually	ひんぱんに
collectible	グッズ|収集された
handmade	手作りの|手細工の
champ	をむしゃむしゃ食う(chomp)
reuse	再使用|再利用|リユース|再び用いる|再生する|再利用する
compensate	に補償する|補償する|補正する|補正を行なう
keno	キーノ|ビンゴに似た賭博の一種
mailman	郵便集配人
biodiversity	生物の多様性
abundance	豊富さ|affluent|豊富な|多数|多量|発生量
migrate	移住する
deletion	欠失|削除|消去
diabetic	糖尿病の
verbal	言葉の|語の|文字通りの|口頭の|動詞の
terminology	専門用語|術語|用語法|術語学
presently	まもなく|やがて|目下|只今
mysterious	神秘的な|不可解な|秘密の
suppress	を抑圧する|鎮定する|抑える|を鎮圧する|を我慢する|を隠す
skateboard	スケートボード
correspondent	文通する人|特派員|文通者|通信員
detention	拘留|拘置|阻止|居残り
liquor	溶液|液体|煮汁|を溶液に浸す|に酒を飲ませる|酒|アルコール飲料
revise	を訂正する|を変える|修正する|改正する
lynch	私刑|リンチ|私刑に処する|Merrill Lynch & Co|Inc|(メリル|リンチとも創業者の姓)|現バンク・オブ・アメリカグループの金融機関
couch	うずくまる|横たわる|長椅子|ベッド兼用のソファー
brace	突っ張り|支柱|引き締める|支える|元気を出す|元気づける
bluff	威嚇(する)|ぶっきらぼうな|荒っぽい|率直な|険しい
shallow	浅い|浅はかな
maintainer	維持する人
scarf	スカーフ|接合
promoter	推奨者|発起人|発頭人|張本人|首唱者
borrower	借手
thereafter	その後|従って
temporal	現世の|時間の|俗世の|束の間の|側頭の|時制の
sanctuary	聖地|聖域|庇護|神殿|保護|鳥獣保護区域|安らぎの場所
maturity	満期|成熟|十分な成長
firmware	ファームウエア|マイクロコード|ファームウェア|ファアームウエア
waist	腰のくびれ|ウエスト|胴着|ブラウス
defect	不足|欠点|短所|欠陥|亡命する|他国へ逃亡する
qt	quiet|quantity|quart 他の略
awful	すざましい|すさまじい|恐ろしい
coupe	クーペ(2ドアの乗用車)
defender	防御者
asbestos	石綿|アスベスト(発ガン性物質)
crude	天然のままの|粗野な|露骨な|粗い|加工していない|不遠慮な
costly	高価な|損失の大きい
harassment	悩ます(悩まされる)こと|繰り返し悩ますこと|ハラスメント
spreadsheet	スプレッドシート|表計算ソフト
longitude	経度
aunt	おば
lea	草原|草地|牧草地
asterisk	星印
gu	グアム島|尿生殖器
thorough	完全な|徹底的な|心からの|絶対的な|詳細な
inexpensive	費用のかからない
bakery	パン焼室|パン焼き場|製パン所|パン屋|ケーキ
certify	証明する
creature	動物|生物|生き物
ours	わたしたちのもの
lone	ひとりぼっちの|連れのない|孤独な|寂しい|人里離れた|独身の
aluminium	アルミニウム
webcast	インターネット放送
evanescence	(物・気持ちなどが)次第に消えていくこと
cheer	声援|を励ます
bitter	苦々しい|悲惨な|苦い|ひどい
debit	借方(に記入する)|デビット
applet	アプレット
mambo	マンボ(を踊る)
designate	指定する|指摘する|示す|表す|指名する
legendary	伝説集|伝説の
asylum	亡命|避難|政治犯の庇護|隠れ家|保護施設|避難所|精神病院|孤児院|聖域
beautifully	みごとに
hygiene	衛生|健康法
illusion	思い込み|幻覚|幻影|思い違い|錯覚|妄想|幻想
pyramid	ピラミッド|金字塔|尖塔状のもの|角錐|利乗り
myrtle	ギンバイカ(結婚式等によく使われる)|ツルニチニチソウ 
eb	電子ブック|電子ブック
poultry	家禽類|家禽
immunology	免疫学
departmental	部門の|省|局|課の|軍管区の
diagnose	診断する
capri	カプリ
cooperate	協同する|協力する
sauna	サウナ|サウナ浴場
embroidery	ししゅう|刺繍
groundwater	地下水
sigh	ため息をつく|ため息(をつく)|嘆く|慕う
insulation	絶縁体|絶縁|絶縁材
collaborate	共同する|協力する|共同して働く|共同研究する
zoloft	サートラリン
frankfurt	フランクフォート|フランクフルト
prisoner	囚人|刑事被告人|捕虜
linkage	関連|連関
accession	追加|就任|増加|到達|即位|相続|取得
pier	防波提|桟橋|橋脚|窓間壁
cert	確実なこと|現実に起こること|必ず起きること|本命|本命馬
sufficiently	十分に
iris	(眼球の)虹彩(こうさい)|アヤメ|アイリス
racer	競走者|レーサー|競走用自転車|競走馬
altitude	高度|高さ
conceptual	概念上の
peg	くぎで止める|くぎ|かけくぎ|テントのくい|弦楽器のねじ|洗濯ばさみ
severity	厳格|重大度
loyalty	貞節|忠義|忠誠|誠実
overflow	からあふれる|氾濫する|あふれる|いっぱいになる|氾濫
artery	幹線道路|動脈
gown	ガウン|長上着|正服|法服
crawl	這う|腹ばいですすむ|のろのろ進む|クロール(で泳ぐ)|(テレビの)制作･出演者の字幕リスト
instrumentation	計測(器)
elk	オオジカ|ヘラジカ
balcony	バルコニー
