taxon	分類群
wildcat	ヤマネコ|ノラネコ|突然怒りだす人|無謀な|非合法な
melancholia	憂うつ病|憂鬱病
acetylene	アセチレン[ガス]
unknowing	知らない|気づかない
overdraft	(銀行の)当座貸越(金額)・(預金者側から見れば「借」越し); (手形の)過振(かぶり)|当座貸越[額];(手形・小切手の)過振り
curatorial	管理者の|館長の
tinder	火口(昔|点火に用いた燃えやすい物質)
adrenalin	アドレナリン|神経伝達物質またはホルモンとして働く
unanswerable	答えられない|反論できない|責任のない
bludgeon	こん棒(でなぐる)
millstone	ひきうす|重荷;やっかい者
fulltime	(フットボールなどの)時間切れ|試合終了|全時間勤務する|専任の|常勤の
impersonate	のふりをする|のまねをする|まねる|体現された
hobble	妨げる|困らせる|たどたどしい|足かせ
viscount	子爵
conch	ホラガイ|巻き貝(の貝殻)|丸屋根|半円形屋根|オレンジを帯びたピンク|まじめ学生
pesky	やっかいな|いやな|うるさい
catwalk	狭い通路
peso	ペソ(通貨, 複数形pesos)
hedonistic	快楽主義の
pong	ポーンという音|嫌なにおい|悪臭|ポーンという音を立てる|アドリブで言う|悪臭を放つ
gymnast	体操選手
woof	(織物の)横糸|(犬の)うなり声
nucleon	核子(かくし|陽子および中性子をいう)
jibe	一致する|調和する|(話が)合う|向きを変える|の向きを変えさせる
counterweight	(=counterbalance)対抗勢力
buyout	買い占め
smelter	精錬工|溶解装置工場
pitfall	落とし穴
impeccably	非の打ち所なく
roughen	〜‘を'粗くする|ざらざらにする|粗くなる|ざらざらになる
watertight	水の漏らない|防水の|(議論などが)水も漏らさない|完ぺきな
doggy	犬好きな
maim	(人を)不具にする|不具になる|損なう
matchless	無比の|無類の|無敵の
seasoning	調味料|調味(料)|味付けすること(もの)
therefor	そのために|その代わりに
torturer	苦しめる人|拷問にかける人|拷問者
octane	オクタン(石油に含まれる炭化水素の一つ)
jaunt	遠足|苦しい旅|遊山旅行|遠足をする(=excursion)
hyperactive	異常に活発な
kilowatt	キロワット
putt	パットする(ゴルフ)
embattled	戦備を整えた|布陣した|敵(軍)に包囲された
varsity	(大学などの)代表チーム
