fettuccini	フェットチーネ
gerrymander	ゲリマンダー(自党に有利なように選挙区を区割りすること;その選挙区)|〈選挙区〉‘を'自党に有利に改正する
pentose	五炭糖
woad	(大青(たいせい)から採った)青色染料
baring	裸の(naked|nude)|バー|棒|(軸受け)a bearing|a ball bearing
demyelination	脱髄
plainsong	=Gregorian chant|(またplainchant)(中世の)無伴奏教会聖歌
contort	をねじる|本来の意味を曲げて解釈する
housebroken	よくしつけられた|飼い慣らされた
phonogram	発音文字
bifurcate	〈道路・川などが〉二またに分かれる|分かれて二本になる|二またに分かれた
tolbutamide	トルブタミド
embolus	塞栓(そくせん|embolism)|栓子(血塊などの塊|単数形embolus|複数形 emboli)が血液中に遊離し|血管が塞がれ血流が遮断されること
dogbane	バシクルモン(キョウチクトウ科の多年草)
tepee	ティピー(北米インディアンのテント小屋)
puffball	ホコリタケ(球形のキノコの一種)
dowse	=douse
flytrap	ハエトリソウ
busk	大道芸をする
hireling	金目当てに働く人;雇い人|金を目当てに働く;雇われて働く
hydrolyse	加水分解
elephantine	象の|象のように巨大な;のっそりした
measureless	限界のない|測りしれない|測れないほど大きい
northeastward	北東へ(に)|北東の;北東へ向かう|北東;北東部
scandalize	あきれさせる|あきれる|(人を)憤慨させる
babbling	片言交じり
demerara	デメララ
jaybird	=jay
subtilisin	サブチリシン|スブチリシン|(枯草菌のタンパク質分解酵素)
reflectively	in a reflective manner; "he watched her reflectively"|in a reflective manner
burble	さらさら音をたてる
downspout	縦樋(=down pipe)|(石油化学工場などの蒸溜塔内にある)溢流管
trackless	道のない人|人跡未踏の|(雪などで)道の跡が消えた
demographer	人口統計学者
patroness	(仏語)patronの女性形
monistat	ミコナゾール
inconsolable	慰められない;あきらめがつかない
horary	relating to the hours; "the horary cycle"|relating to the hours
realness	レアリテ|レアリテー|リアリティ|アクチュアリティ|現実|現つ|リアリティー|誠|現|現実性
metaphysically	in a metaphysical manner; "he thinks metaphysically"|in a metaphysical manner
virtu	〈U〉(美術品などの)優秀性|よさ|値打ち|《集合的に》《複数扱い》美術品|骨とう品|{U}美術品(骨とう品)に対する造詣(知識) = vertu
explicable	説明できる|説明可能な
unreason	無分別
reincarnate	(〜として)〈新しい肉体〉‘に'生まれ変わらせる《+『as』+『名』》
crepuscule	逢魔が時|暮れ|日の暮れ|日の暮|昏黄|夕やみ|たそがれ|入り方|片夕暮れ|夕まぐれ
colouration	音色|彩色|呈色
demonization	to represent as diabolically evil; "the demonization of our enemies"|to represent as diabolically evil
gastropod	腹足類の動物(カタツムリ・ナメクジなど)
isobar	(地図上の)等圧線
manicurist	マニキュア師
intermingle	混りあう|混る|を混ぜる|混ざる
buggery	=sodomy
lynching	私刑
papist	(新教徒側から軽べつして)カトリック教徒
tater	ジャガイモ|(野球)ホームラン|本塁打
monozygotic	一卵性の
argot	(盗賊などの)暗語|隠語|符牒
austenite	オーステナイト
tornillo	shrub or small tree of southwestern United States and northwestern Mexico having spirally twisted pods
punctate	点状の
tamer	ならし手|使い
reovirus	レオウイルス
fontina	羊乳から作ったイタリアチーズ
hypochondria	心気症|憂鬱症|気病み|うつ病
icosahedron	正二十面体
aconitum	トリカブト
chervil	チャービル(セリ科の植物;芳香があり葉はスープ・サラダ用)
tinkerer	鋳掛け屋|鋳掛け屋
idealize	を理想的にする|を理想化する
whang	ラップ|打撃
propitiation	なだめること;〈C〉(なだめるための)ささげ物
sinewy	引き締まった|筋っぽい|筋骨たくましい|硬い|丈夫な|力のこもった|腱質の
frilled	フリルのついた|ひだのある|ひだ飾りにした
phylogenetically	系統発生的に
interlaboratory	研究室間の
worshiper	参拝者|崇拝者
radiochemistry	核化学|放射化学
uproarious	騒々しい|騒然たる|爆笑させる|ひどくおかしい
polymyositis	多発性筋炎
perianal	around the anus
penitential	後悔の|ざんげの
autophosphorylation	自己リン酸化 (細胞が自ら細胞内のタンパク質をリン酸化|脱リン酸化し|酵素活性や他のタンパク質との会合状態を変化させる機能)
phrenic	横隔膜の|(生理学上の意味で)精神の|精神活動の
dagga	relatively nontoxic South African herb smoked like tobacco
alkalosis	アルカローシス
fibril	小繊維|根毛
juglans	type genus of the Juglandaceae
blacktail	mule deer of western Rocky Mountains
pucka	absolutely first class and genuine; "pukka sahib"; "pukka quarters with a swarm of servants"|absolutely first class and genuine
desegregate	人種的差別を廃止する
acuminate	(of a leaf shape) narrowing to a slender point|make sharp or acute; taper; make (something) come to a point|make sharp or acute|taper|make (something) come to a point
decadron	a corticosteroid drug (trade names Decadron or Dexamethasone Intensol or Dexone or Hexadrol or Oradexon) used to treat allergies or inflammation
breakwater	防波堤
hyperpolarization	過分極
colorfast	having color that is resistant to fading or running
factionalism	派閥主義
sulfonamide	スルホンアミド|サルファ剤
sandpit	砂掘り場|砂坑|《英》(子供が遊ぶ)砂場
mastication	咀嚼(そしゃく)|かみこなすこと
hyoscyamine	ヒヨスチアミン
hooey	ばかな(不承知・不信などを表す)|ばかなこと|くだらぬ話
pettiness	取るに足らないこと|つまらなさ|狭量
immanence	(物質・要因などの)内在|(神・神の意志の)宇宙遍在
uncork	コルクを抜く
ibidem	同じ箇所に|同書に|同章に|同節に
bent	傾向|好み|曲がった|熱中している|湾曲した
dawdle	時間を浪費する|ぐずぐずする|ぶらぶらして時を過ごす|空費する|ぶらぶら歩く
actium	an ancient town on a promontory in western Greece|the naval battle in which Antony and Cleopatra were defeated by Octavian's fleet under Agrippa in 31 BC
unapproachable	(人が)話しかけにくい|親しみを持てない
putatively	推定上|一般に考えられられているところでは
gunstock	銃床
incapacitate	耐えられなくする
unnoticeable	人目をひかない|重要でない
salable	売り易い
chlorosis	萎黄病
annona	type genus of the Annonaceae; tropical American trees or shrubs|type genus of the Annonaceae|tropical American trees or shrubs
cordiality	〈U〉心からの気持ち|温情|〈C〉心からの言葉(行為)
norovirus	ノロウイルス|非細菌性急性胃腸炎を引き起こすウイルス|貝類の食中毒や|感染者の吐瀉物から経口感染する
sarracenia	サラセニア
butterball	太っちょ|でぶ|ヒメハジロ
fedayeen	(特に反イスラエル運動している)パレスチナのゲリラ隊
tody	tiny insectivorous West Indian bird having red-and-green plumage and a long straight bill
thuggery	残忍な殺人強盗|暴行|暴力
oropharynx	中咽頭
teasingly	悪戯
inconstant	変わりやすい|気まぐれま|移り気の
cotyledon	子葉(胚の初葉)
effete	時代遅れの|退廃的な|衰えた|(男が)女々しい
crestfallen	うなだれた|意気消沈した
suchlike	このような
multivalent	used of the association of three or more homologous chromosomes during the first division of meiosis|having more than one valence, or having a valence of 3 or higher|having many values, meanings, or appeals; "subtle, multivalent allegory"|having many values, meanings, or appeals
tangibly	触知できるよう(ほど)に;明白に
gloomily	暗く|薄暗く|憂うつに|意気消沈して
perfective	完了時制
lovage	herb native to southern Europe; cultivated for its edible stalks and foliage and seeds|herb native to southern Europe|cultivated for its edible stalks and foliage and seeds|stalks eaten like celery or candied like angelica; seeds used for flavoring or pickled like capers|stalks eaten like celery or candied like angelica|seeds used for flavoring or pickled like capers
chondrocyte	軟骨細胞
gnatcatcher	very small North American and South American warblers
otterhound	オッターハウンド
adulterer	不義者|浮気者
fluoresce	けい光を発する
lexicographer	辞書編集者
incandescence	白熱[光]
simazine	a herbicide used to control weeds (especially among crops)
fluorophore	蛍光色素分子
lucidly	明快に;透明に
chevre	made from goats' milk
monogenic	of or relating to an inheritable character that is controlled by a single pair of genes
biryani	an Indian dish made with highly seasoned rice and meat or fish or vegetables
issachar	(Old Testament) a son of Jacob and a forebear of one of the tribes of Israel|a son of Jacob and a forebear of one of the tribes of Israel
astir	(〜に)わきたって|ざわめいて《+『at』+『名』》;(〜で)にぎわって《+『with』+『名』》|(ベッドから)起きて
psychoanalytical	of or relating to or incorporating the methods and theory of psychiatric treatment originated by Sigmund Freud; "Freud's psychoanalytical theories"; "psychoanalytic treatment"|of or relating to or incorporating the methods and theory of psychiatric treatment originated by Sigmund Freud
resolvent	溶材|溶剤|溶解剤|溶媒
freakishly	気まぐれに
electrostatically	静電気的
photocoagulation	surgical procedure that uses an intense laser beam to destroy diseased retinal tissue or to make a scar that will hold the retina in cases of detached retina
glamorise	make glamorous and attractive; "This new wallpaper really glamorizes the living room!"|make glamorous and attractive
echinoderm	(ヒトデ･ウニ･ナマコなどの)棘皮動物
qabalah	カバラ
immiscible	(特に液体などが)混合できない|混じらない
branta	wild geese
undulate	波のようにうねる
disinflation	ディスインフレーション
divvy	分け合う|山分けする|分け前|配当
insidiously	陰険に|狡猾に|知らぬ間に
egregiously	とんでもなく|ひどく
ungulate	有蹄(ゆうてい)動物|ひづめのある動物
cootie	シラミ
shipshape	きちんとした|整然と
explant	体外移植組織|人工培養組織
outcropping	露頭
manacle	《複数形で》|手錠|束縛|拘束|〈人〉‘に'手錠を掛ける|〜‘を'束縛する
claptrap	場当たりな
odium	憎悪|反感|汚名|悪評
seconder	(特に動議の)賛成者|支持者
doctrinaire	空論家|教条的な|空論の
besot	make dull or stupid or muddle with drunkenness or infatuation
electromotive	電動の|起電の
mandola	an early type of mandolin
charioteer	chariotを駆る人(御者)
