navicular	せん状骨|舟状
summerset	蜻蛉がえり|翻筋斗|蜻蛉返り|とんぼ返り|トンボ返り|蜻蛉返|宙返り
indissoluble	分解(溶解)できない;壊すことができない
crocket	an architectural ornament of curved foliage used at the edge of a spire or gable
polyandry	一妻多夫|(植物の)多雄ずい性
columned	円柱のある
stereotypic	類型的|枠に嵌まった
bighead	偉ぶった人|うぬぼれ屋
protoplast	プロトプラスト
unowned	無い
censorial	検閲[官]の
springtail	トビムシ
nicety	細密|精密|正確|微妙|気むずかしさ|優雅さ
backbench	《英》(特に下院の|党幹部を除く)平議員
enfeeble	〈体・気力など〉‘を'弱める|弱らせる
muscadine	native grape of southeastern United States; origin of many cultivated varieties|native grape of southeastern United States|origin of many cultivated varieties|dull-purple grape of southern United States
ambulant	巡回する|動き回る|(患者が)歩行可能な|外来の
shivaree	a noisy mock serenade (made by banging pans and kettles) to a newly married couple
mucilage	(動植物の)粘液|ゴムのり(gum|glue)
cozen	〈人〉'を'だます
mastopexy	plastic surgery to lift or reshape the breasts
seborrhea	脂漏
archetypical	=archetypal
vegetate	植物(草や木)のようにぶらぶらして何もしない|(to hang out and do nothing like a vegetable)
iritis	虹彩炎
imprudence	〈U〉無思慮|軽率|無謀;(〜する)無分別さ《+『to』 do》|〈C〉無分別な行為(言葉)
unnerve	気力を奪う|おじけづかせる|落胆させる|挫く|狼狽させる
spreadable	広げられる|容易に広がる
dogmatically	独断
phenothiazine	フェノチアジン|フェノサイアジン|フェノチアジン系化合物
mesial	being in or directed toward the midline or mesial plane of the body
flautist	=flutist
moggy	猫
upbraid	叱責する|とがめる|しかる
jailbird	(俗)囚人|前科者|常習犯
edginess	焦燥|焦慮
convolve	コンヴォルヴ
atherogenesis	アテローム発生
diphthong	(文法)2重母音|複母音
keratotomy	角膜切開
scenarist	映画脚本作者|シナリオライター
apiculture	養蜂(ようほう)
sweetleaf	small yellowwood tree of southern United States having small fragrant white flowers; leaves and bark yield a yellow dye|small yellowwood tree of southern United States having small fragrant white flowers|leaves and bark yield a yellow dye
dulcet	(音が)美しい|甘美な
sirrah	おい|こら(目下の者・子供などに対する軽べつ的呼び掛け)
authorizer	承認者
bacteriologist	細菌学者
sensitise	感作|感作|感作|感作
festal	祭りの|祝いの
xerostomia	口内乾燥
ohmmeter	オーム計|電気抵抗計
prolate	(球体が)長形の
wannabee	an ambitious and aspiring young person; "a lofty aspirant"; "two executive hopefuls joined the firm"; "the audience was full of Madonna wannabes"|an ambitious and aspiring young person
amaterasu	central deity of Shinto; goddess personifying the sun and ancestress of the rulers of Japan|central deity of Shinto|goddess personifying the sun and ancestress of the rulers of Japan
isthmian	地峡の|《I-》コリント地峡の|パナマ地峡の
heartrending	胸も張り裂けるような|悲痛な
devotedly	with devotion; "He served his master devotedly"|with devotion
thermoplasma	サーモプラズマ|陸上の温泉などに生息する好熱|好酸|通性嫌気性の古細菌の一属|古細菌のモデル生物で細胞壁を欠くなどの特徴で知られる
roadworthy	(車が)路上運転に適した|道路用の
thiabendazole	サイアベンダゾール
indigenously	in an indigenous manner
vicariate	the religious institution under the authority of a vicar
longan	リュウガン|竜眼
frigidity	厳寒|冷淡
geostrategic	of or relating to geostrategy; "Pakistan became a country of paramount geostrategic importance to the United States"|of or relating to geostrategy
playday	遊び時間
lxiv	being four more than sixty
itchiness	かゆいこと|むずむずすること
syphilitic	梅毒(性)の|梅毒患者
jaywalk	交通規則や信号を無視して街路を横切る
flagman	信号旗手|(踏切の)信号手
nonskid	(タイヤが)すべり止めをした
barcarolle	ゴンドラの舟歌
monotypic	単型的
perspire	汗をかく|発汗する
uncleared	not cleared; not rid of objects or obstructions; "uncleared land"; "many cars were stuck in the snow on uncleared streets"|not cleared|not rid of objects or obstructions
engorgement	congestion with blood; "engorgement of the breast"|congestion with blood|eating ravenously or voraciously to satiation
demineralization	脱塩
tillandsia	チランジア
counterchange	換える|取り換える|引き換える|代える|交換|替える
cervicitis	inflammation of the uterine cervix
salubrious	健康によい;健康的な|健全な
ethnologist	民族学者
irradiate	照らす|明るくする|啓発する
unsystematic	lacking systematic arrangement or method or organization; "unsystematic and fragmentary records"; "he works in an unsystematic manner"|lacking systematic arrangement or method or organization
shaitan	(Islam) a rebellious jinni who leads men astray|a rebellious jinni who leads men astray
cysteinyl	システイニル|システイン(アミノ酸の一種)の
exocet	エキゾセ
stridor	喘鳴
marriageable	結婚できる|婚期に達した|婚期の|年ごろの
pocketknife	折りたたみ式小型ナイフ
plumbago	プルンバーゴ(薄い灰色の花をつける熱帯植物)
imposture	(特に他人の名前・職業などをかたる)詐欺|かたり
backbreaking	骨の折れる
televisual	テレビ放送向きの
mutinous	反抗的な
descriptively	記述的
