glib	口の軽い|口の達者な|ベラベラしゃべる|口のうまい|行き当たりばったりの
plunder	略奪|略奪品|利益|を略奪する|をこっそり盗む
speck	小さい点|小粒|小さなしみ|小さな腐りきず|ちり|小片
downfall	大降り|失脚|滅亡|没落|落下
fictitious	架空の|偽の|創作上の|虚構|虚偽|架空
immortality	不死
saffron	サフラン|鮮黄色(の)
connoisseur	鑑定家|目きき|くろうと
peerless	無比の|無類の
improbable	ありそうもない
inefficiency	非効率
hornet	スズメバチ|すずめばち(=wasp)
atypical	異常な
excessively	過度に
slumber	無為に過す|眠り|うとうとする|活動を休止している
ogre	オーガ(オーグル|オグレ)|伝承や神話に登場する人食い鬼|女性はオーガス|動物や物に姿を変える|スカンジナビア半島ではオーガはトロールtrollと関連して出てくる
devoid	欠けていて
extraordinarily	異常に|並外れて|異例に|特別に|法外に
jogger	ジョギングする人
fielder	(野球)野手
shunt	変える|他へ向ける(こと)|血液を別の路へ流す
suture	(頭蓋の)縫合線|傷の縫い合わせ|縫合|縫合糸
revamp	を刷新する|改造する|修理する|を改良する|を改訂する|を繕う
apprehension	気づかい|不安|理解|逮捕
dishonest	不正直な
mailbag	郵便袋;郵便かばん(《英》postbag)
inert	(人など)のろい|生気のない|鈍い|不活性の
favorably	好意を持って|好意的に|好都合に|順調に|都合よく|有望に|有利に
discontent	不満な|不満
beehive	ミツバチの巣(箱)|盛り上げた女性の髪型|人込み
postwar	戦後の
yogi	ヨガの行者
implantation	移植
epistle	(形式ばった)書簡|手紙
unfavorable	都合の悪い|不運な|不利な|逆の|好意的でない|好ましくない
forgery	偽造|偽物|捏造|いんちき|偽造罪
anomalous	異常な|変則の|例外的な
jitter	(〜についての)神経過敏《+『about』+『名』》|いらいらする
commonplace	普通の|平凡な(こと)|陳腐な(ことば)
generalize	一般的に扱う
feminization	女性化
frugal	節約する|倹約な|質素な|つましい
extremist	過激派
starry	星の多い|星のように輝いた|星形の
dislocation	脱臼|混乱
elaboration	綿密な仕上げ|精巧さ|推敲|苦心の作
multipurpose	多目的の
cohesive	(日常などに)密接した|粘着性のある|結合性のある|密着する
corral	家畜囲い
tonne	メートルトン
caster	投げる人|配役係|鋳造者|(ピアノ|いすなどの)足車|キャスター|news casters(=news anchors)ニュース番組司会
medial	中間の|平均の|並みの|(文法)語中の
colossal	巨大な|素晴らしい|途方もない
conversational	会話の
battleground	戦場
brio	活気|元気
scaffold	足場を設ける|(建築場の)足場|絞首台|処刑台|(野外の)組立て舞台
screener	審査官|しゃへい装置|スクリーナー
hanukkah	ハヌカー(ユダヤ教の祭り)
adsorption	吸着|吸着量
travail	骨折り|苦痛|辛苦|苦労する|骨折る
dissatisfaction	不平|不満
cumbersome	扱いにくい|邪魔な|やっかいな
refresher	飲食物|元気を回復させる人
mousse	ムース|卵とクリームで作られるクリーミーなデザート
pancake	パンケーキ
transmembrane	膜貫通
jumble	ごたまぜにする|よせ集め|がらくた|ごちゃまぜにする
scarab	スカラベ|フンコロガシ|コガネムシ
firth	河口|入り江|湾
leapfrog	馬跳び(をする)
incision	切込み
undated	日付のない
alternately	交互に|一つおきに|互い違い|ちゃんぽん|交互
technologically	技術的に
gracefully	優雅に|淑やかに
anaerobic	anaerobic(bacteria|digestion|mud|fermentation|decomposition) 嫌気性(菌|消化|泥|はっ酵|分解)
antagonist	アンタゴニスト(拮抗薬)|Autoradiography(放射線写真法)で生体内の特定のレセプター(receptor|受容体)に作用し受容体の活動を抑制する薬剤
scorn	軽蔑する|あなどる|(軽蔑して)拒絶する|嘲笑|あざけり
ballerina	(イタリア語)バレリーナ|バレエの女性踊り手
waterman	漕ぎ手|船頭|漁師|こぎ手
propensity	傾向|性向
patiently	辛抱して|根気よく|辛抱強く
vomit	嘔吐する|激しく流出する
bromide	臭化物|臭化カリ|陳腐な考え|平凡な人
hefty	大きな|圧倒的な|かなりの
calamity	不幸な出来事|災難
exclamation	絶叫|叫び|感嘆|(文法)感嘆詞
artificially	人工的に
pubic	陰部の|恥骨の
extravaganza	派手なもの|(豪華な)ミュージカル映画
nitrous	硝石の|窒素の
elegantly	エレガントに
rosy	バラのような|楽天的な|有望な|薔薇色の|赤面した
airspace	領空
workable	運転できる
seminal	精液の|種子の|発生の|生殖の|未発達の|生産的な|独創性に富んだ
surfactant	界面活性剤
relevancy	関連(性)|適合性|検索能力
creeper	はうもの|(特に)はう昆虫|爬虫類|木に登る鳥(特に)キバシリ|つる草
bluebird	ルリコマドリ|ブルーバード(米国産の青い鳴鳥)|警官|ポリ公
comer	将来有望な人(物)
hernia	ヘルニア|脱腸
choreography	(バレエなどの)舞踊術(法)|振りつけ(法)
realistically	現実的に
bristle	(動物|特に豚の)剛毛|(ブラシなどの)毛|(複数形)ひげそり後に伸びた剛毛のひげ|(v)(毛髪などが)逆立つ|(動物が)毛を逆立てる|(怒りで)いらだつ|密生する
hula	フラダンス(の音楽)|フラダンスを踊る
grudge	恨みを持つ|恨み|出し渋る|悪意
scarcity	不足|稀少|まれなこと
abrupt	不意の|険しい|突然の
fastener	ファスナー
foxy	ずるい|こうかつな
liqueur	リキュール
superpower	異常(強大)な力|過力|超出力|超強大国|超大国
turret	(建物の角の|主に装飾用の)小塔|タレット
offbeat	風変りな|突飛な
enquirer	(=inquirer) 尋ねる人|質問者
landau	ランドー|ランドー型自動車|ランドー馬車
disappoint	を失望させる
libel	誹謗する|名誉毀損
swami	ヒンズー教の学者(聖職者)(の尊称)
colonization	植民地化|入植
agitation	動揺
lactation	乳の分泌|授乳期間
