becalm	(風がないで)〈帆船〉'を'止める
epistatic	上位性|エピスタシスとは|遺伝学において異なる遺伝子座間の相互作用が一つの形質に影響すること
crapshoot	不確実(予測不可能)なこと|賭け|さいころ博奕をする|危険を冒す
syncytium	合胞体|融合細胞|合胞体; 多核質; シンシチウム
straggler	落後者|stray(迷う)とdraggle(引きずる)の混成
skedaddle	あわてて逃げる|あわてて逃げること
disbandment	(組織・隊などの)解散|解隊
cheekily	生意気に
persnickety	=pernickety
ineluctable	不可抗力の|不可避の|免れえない
tokenism	(特に人種差別廃止における)名目主義
scrimp	倹約する|切詰める|切り詰める|節約する
urus	ウルス|最近絶滅した長く角のあるヨーロッパの大型の野生雄牛
cembalo	チェンバロ(harpsichord)
tinware	すず(ブリキ)製品
retrogressive	(元の状態に)後退する|逆行する|退化する;(〜に)後退する《+『to』+『名』》
amorality	超道徳性;道徳意識の欠如|不道徳
amateurism	アマチュア精神;しろうと芸
hermaphroditic	両性具有の|雌雄同体の
leprous	ハンセン病(らい病)にかかった;ハンセン病の|らい病の
penstock	(水力発電所・水車などの)導水路;水門
lambent	(特に炎が)ちらちらゆらめく|軽妙な|柔らかく輝く
asocial	非社交的な|思いやりのない|利己的な
sacristan	(教会・修道院の)聖具室係
tragicomedy	(悲劇と喜劇の両面をもつ)悲喜劇
ironbound	鉄で巻かれた|岩の多い|ごつごつした|堅い|曲げられない
coexistent	共存の
niggardly	けちな|もの惜しみして
warrantor	保証人
untended	世話されていない|世話する者がいない|ほったらかしの
blancmange	ブラマンジエ(牛乳とコーンスターチで作った甘いブディング)
operably	実施(使用)可能に;手術可能に
libidinous	好色な|肉欲的な|扇情的な
unforgettably	忘れられないで|いつまでも記憶に残って
postdate	〈手紙・事件など〉‘の'日付けを実際よりも遅らせる
copyedit	〈原稿〉'を'校正する
pockmark	あばた
orate	演説する
paratyphoid	パラチフス
buckboard	(米西部やいなかで用いる車体を木で作った)軽四輪荷馬車
commentariat	評論家
noisome	有害な|悪臭のする|不快な
hidebound	偏狭な|頑固な
intoxicate	酔わせる|夢中にさせる
exasperate	怒らせる|悪化させる
fatalist	運命論者|宿命論者
trinitrotoluene	トリニトロトルエン|高性能爆薬(《略》TNT|T.N.T.)
onrushing	突進する
babyhood	赤ん坊時代|幼年(期)
bluestocking	《軽べつして》文学かぶれの女性|学才を誇る女
tensity	緊張;張り
mesmeric	催眠術の
balky	(馬が)急に止まる癖のある|(人など)がんこな|強情な
roofless	(建物が)屋根のない|(人が)宿なしの
despoil	(〜を)〈人・場所〉‘から'奪う《+『名』+『of』+『名』》
fogy	時勢遅れの人|がんこで旧弊な人
inroad	侵入|侵略|襲撃
dirndl	ダーンドル(チロル農民ふうの婦人服で|ぴったりした胴着とゆったりしたスカートから成る)|ダーンドルふうのスカート
theca	花粉のうや蘚類の胞子のうのケースやさや|昆虫のサナギの外側のさや(outer sheath of the pupa of certain insects)
gangrenous	壊疽(えそ)の|壊疽にかかった
vainglorious	うぬぼれの強い|虚栄心の強い
embezzle	着服する|使い込む|横領する
disenchant	の魔法を解く
waterpower	水力
archbishopric	archbishopの職(地位|任期|教区|管轄権)
mayoress	《米》女性市長|《英》市長夫人
hatchway	=hatch
pinnace	艦載艇|(船への人の乗降・荷の運搬に用いる)小舟|小ボート
plummy	好ましい|上等な|素晴らしい|スモモの|プラムのたくさん入った|干しブドウ入りの|丸くぽちゃぽちゃした|声量の豊かな
nonsynonymous	非同義
quizmaster	《おもに米》クイズ番組の司会者(《英》question master)
extirpate	〈悪習・集団など〉‘を'根絶する|撲滅する|〈植物〉‘を'根こそぎにする
imposer	押しつける人|(課題・重荷などを)課する人
handpick	〜‘を'注意して選ぶ
avoirdupois	=avoirdupois weight(《略》『avdp』)
convulse	身もだえさせる|震動させる
imperiously	傲然と|横柄に|専制的に
misappropriate	悪用する|使い込む
neuroblast	神経芽細胞
