croon	低音の歌い声|小声で唄う|口ずさむ
prankster	いたずら者|ふざけ屋|ふざけ者
nitrocellulose	ニトロセルロース(硝化綿)|セルロースを硝酸と硫酸で処理し作る|用途は塗料|接着剤|火薬(白煙を出す黒色火薬に比し無煙火薬と呼ばれる)|樟脳と作られたセルロイドは世界初の熱可塑性合成樹脂
admix	(〜と)〜'を'混合する《+『名』+『with』+『名』》|混合する|まざる(mix)
cartoonish	漫画っぽい
euphemistic	婉曲語法の|婉曲な|遠回しな
maladjustment	適合(調和)しないこと;(環境への)不適応
purgation	清めること|浄化;浄罪|便通[をつけること]
stockpot	スープなべ|ソースなべ
pigmy	=pygmy
cavalryman	(1人の)騎兵
ourself	myself|君主の公式用語･新聞の社説用語
smut	汚す|塊り|黒穂病
peon	労働者|日雇い人
roughshod	(馬が)滑り止めのてい鉄を付けた
speller	スペリングブック|綴り字教本|字を綴る人
albinism	先天性白色症|白子
topoisomerase	トポイソメラーゼ|2本鎖DNA(1本鎖DNAが互いに逆向きに結合し二重らせん化したDNA)を切断し再結合する酵素|抗がん剤や抗生物質のターゲットとして知られる
retrospection	回想|追想;回顧|思い出
miscarry	〈人・人の計画などが〉失敗する|しくじる(fail)|《英》〈手紙などが〉誤って配達される|不着になる|流産する
bibl	biblical|bibliographical
itemize	箇条書きにする|明細に記す
crackpot	狂人
coccyx	尾骨
dizzily	目まいがして;目がくらむほど
biannual	年2回の|半年ごとの|半年毎に
episcopacy	〈U〉《文》監督(主教|司教)の職(任期)|《the~》主教(司教)団
beachside	浜辺の
luv	同じ発音であるloveの俗語
microsurgery	顕微解剖|顕微手術(顕微鏡を見ながら組織や細胞を手術する技術)
archaeal	古細菌の
defoliation	落葉
upregulate	上方制御する
pamphleteer	パンフレットの著者(発行者)
prequel	(文学･映画作品などの)前編|続編
sidereal	星の|恒星の
complainer	不平家|苦情を言う人
irredeemable	救いようのない|買い戻しのできない
protestation	抗議
hypnotherapy	催眠療法
irresolution	不決断|優柔不断
expressionism	表現主義
exceptionality	(いい意味で)例外的なこと|まれなこと
pinstripe	細かい縦縞|ピンストライプ
recondition	を修繕する
repercussion	(好ましくない間接的な)影響|(音の)反響|(銃などの)反動|はね返り
repletion	充満|充実|満腹|食べ(飲み)すぎ
vesture	衣服|着物;おおうもの
unexceptional	例外でない|通例の|例外を認めない|《unexceptionableと混同して》非の打ちどころがない
plasmin	プラスミン|タンパク質分解酵素(プロテアーゼ)の一種|フィブリンやフィブリノーゲンを分解して血栓を分解する
wheresoever	whereverの強調形
