callousness	冷淡|無情|冷酷|心なさ|無感覚|心無さ|非人情
cowpens	battle in the American Revolution; Americans under Daniel Morgan defeated the British|battle in the American Revolution|Americans under Daniel Morgan defeated the British
unselfishly	in an unselfish manner; "he acted unselfishly when he helped her get the promotion"|in an unselfish manner
nontransferable	incapable of being transferred
prefatory	序文の|前置きの
extirpation	根絶|撲滅
sangoma	a traditional Zulu healer and respected elder
killingly	in a very humorous manner
noiselessly	without a sound; "he stood up soundlessly and speechlessly and glided across the hallway and through a door"|without a sound
plasm	プラズマ|血漿|血しょう
burnup	a high-speed motorcycle race on a public road|the amount of fuel used up (as in a nuclear reactor)
diagnostician	診断専門医
craver	切望する人|懇願する人
potently	強力
pawpaw	=papaw
synesthesia	共感覚
adventuress	女性冒険家|女やま師
etui	small ornamental ladies' bag for small articles
illogic	不合理|非合理
turbojet	タービン式噴射推進機関(turbojet engine)|ターボジェット機
politicize	政治に携わる|政治を論じる|政治化する|政治に関心を持たせる|政治的に扱う|政治問題化する|政党化する
benedick	a newly married man (especially one who has long been a bachelor)
supergiant	an extremely bright star of very large diameter and low density
mandara	a Chadic language spoken in the Mandara mountains in Cameroon; has only two vowels|a Chadic language spoken in the Mandara mountains in Cameroon|has only two vowels
commodious	(いすが)ゆったりとした;(部屋・家が)広々とした
skullduggery	=skulduggery
industrialism	産業(工業)主義
midlevel	中間レベル
calorimetric	熱量測定
busboy	食堂の下働き(食卓を片付け次の客がつけるように準備するボーイ)
margrave	(中世ドイツの)辺境伯(国境地域防衛を任とする地方官)
sulindac	スリンダク
conurbation	都市集団|(特に)大都市圏
plainclothes	(警官が)私服の
musicological	of or relating to musicology
lahar	ラハール
epiphytic	of or relating to epiphytes
voicing	ヴォイシング
gimlet	(T字形の柄をもつ)錐(きり)|ギムレット(カクテルの一種)
anlage	(生物)原基(細胞群で器官に成熟する前の段階のもの)|(心理)素質|遺伝的素質
damascene	a native or inhabitant of Damascus|a design produced by inlaying gold or silver into steel|of or relating to or characteristic of Damascus or its people; "damascene city gates"|of or relating to or characteristic of Damascus or its people|(of metals) decorated or inlaid with a wavy pattern of different (especially precious) metals; "a damascened sword"|(of metals) decorated or inlaid with a wavy pattern of different (especially precious) metals|inlay metal with gold and silver
pincer	ピンセット|毛抜き|ニッパ|はさみ
bleah	あかんべー
lignum	woody tissue
psycholinguistic	of or relating to the psychology of language
musette	ミュゼット
conduce	(ある結果に)導く|貢献する《+『to』(『toward』)+『名』》
fucus	any member of the genus Fucus
passing	過ぎて行く
maidservant	お手伝いさん|女中(maid)
potamogeton	a large genus of aquatic herbs found in quiet waters in temperate regions; leaves usually float on the water|a large genus of aquatic herbs found in quiet waters in temperate regions|leaves usually float on the water
metrological	of or relating to metrology
kail	ケール
camarilla	分派|政派|徒党|党派|秘密結社|私党|党閥|派閥|会派|閥
methacholine	メタコリン
wheal	(腫れてかゆい)虫さされ|(蚊の)刺し跡|みみずばれ(=wale)
soave	ソアーヴェ
compartmental	divided up into compartments or categories; "most sciences have become woefully compartmentalized"|divided up into compartments or categories
