facetious	冗談の|滑稽な|ひょうきんな|愉快な
whitlow	ひょうそ(指の先端などの化膿性炎症)
majorette	=drum majorette
enmesh	(網などに)〜‘を'かける|(争い・困った事態などに)〈人〉‘を'巻き込む|陥れる《+『名』+『in』+『名』》
mishmash	ごたまぜ|寄せ集め
alewife	北米産のニシンに似た食用魚
functionalism	機能主義
healthily	健康で|健全で
bunting	旗布|(慶祝などのための)細長い旗|吹き流し|まん幕|(主に米)(乳児用の)おくるみ|ホオジロ類の小鳥
goddam	つまらない|くだらない|取るに足りない|くそっ|いまいましい
gelatinous	ゼリーの|ゼラチン(質)の|ゲル状の|粘着性の|ゼラチン状になる(become gelatinous)
ironmongery	〈U〉金物類|鉄器類(hardware)|〈C〉金物屋|金物商
heterochromatin	ヘテロクロマチン(染色体内のDNA蛋白複合体のうち|異質染色質と呼ばれる部分)
gentlemanly	紳士的な|紳士にふさわしい;礼儀正しい
uptick	(株価などの)上昇　上向き
underbrush	やぶ|小低木|木の下ばえ
histochemistry	組織化学
centripetal	中心に向かう|求心性の|求心力による
repossess	‘を'再び取り戻す|〈支払不能の商品〉‘を'引き取る
jockstrap	(男子運動選手用)サポーター|運動選手|どさ回りの生活をする
arcuate	弓形の|アーチ状の
unintelligent	理解力(知性)に欠ける|愚かな
prizewinner	受賞者|賞金獲得者;受賞作品
depolarize	減極させる|脱分極させる
granddaddy	おじいちゃん|父母の父親
rarefy	(空気･ガスなどを)希薄にする(なる)|純化する|浄化する
vestment	衣服
diaeresis	(音節の)分切;分音|分音符号(naïveなど)
deprecate	〜‘に'不賛成の意を表す|‘を'非難する|‘を'軽べつする
wielder	武器(道具)として使える物
chivalrous	騎士の|騎士制度の|騎士道の|騎士道時代の|騎士道的な|義侠的な|女性に親切な|寛大な|丁重な|勇気があって礼儀正しい
transonic	(また transsonic)音速に近い|音速前後の
bishopric	bishopの職;〈C〉bishopの管轄(かんかつ)区(diocese)
obstinacy	頑固|強情|病の難治
landsman	陸上生活者;陸上勤務者
jetsam	(緊急時に投棄された)投げ荷|捨て荷
coloring	着色剤|色合い
theatrically	芝居じみて|わざとらしく|誇張して
gravitas	きまじめさ|実直さ
sinusoid	正弦曲線
wroth	怒って|激怒して
phooey	戯言|ナンセンス|面白くもない|そんなばかな! ヒェーッ|くそくらえ
longhaired	長髪の|《軽べつして》芸術家気取りの|インテリの・ヒッピーの
gabardine	ギャバジン(羊毛と綿のあや織り)
contraindication	禁忌
mineralogist	鉱物学者
salesmanship	販売手腕
updraft	上昇気流|上向き通風
torpor	無感覚|麻痺|冬眠|活動停止
watermill	水車;(水車式)製粉場
passerby	通行人
misanthrope	人間嫌い
scapula	肩甲骨
paternoster	主の祈り
minestrone	ミネストローネ(肉・野菜・パスタなどを入れて煮たスープ)
