demoralize	の風紀を乱す
unregenerate	悔い改めない|更生しない|強情な|がんこな
sorrowfully	悲しそうに|悲しんで
iniquitous	不正の|不法の;邪悪な
blub	cry or whine with snuffling; "Stop snivelling--you got yourself into this mess!"|cry or whine with snuffling
stria	(平行に並んでいる)細い溝(筋)|条線(氷河運動により岩の表面についたかき傷;鉱物の結晶面に走る平行線)|(円柱についている)縦溝
chlorambucil	クロランブシル
terrorise	恐怖で圧倒する|脅しつける|脅し付ける
intumescent	abnormally distended especially by fluids or gas; "hungry children with bloated stomachs"; "he had a grossly distended stomach"; "eyes with puffed (or puffy) lids"; "swollen hands"; "tumescent tissue"; "puffy tumid flesh"|abnormally distended especially by fluids or gas
stapes	(中耳)あぶみ骨
ascomycete	any fungus of the class Ascomycetes (or subdivision Ascomycota) in which the spores are formed inside an ascus
cannae	カンナエ
halma	ハルマ(飛び将棋の商標名)
myxoma	粘液腫
righthander	右利き
araucaria	any of several tall South American or Australian trees with large cones and edible seeds
architrave	台輪(だいわ)(古典建築のentablatureの最下部で柱の上に直接のる)|(ドア・窓の)化粧縁|装飾縁
fratricide	〈U〉兄弟(姉妹)殺し|兄弟(姉妹)殺しをした人
agonizingly	in a very painful manner; "the progress was agonizingly slow"|in a very painful manner
dishonourable	lacking honor or integrity; deserving dishonor; "dishonorable in thought and deed"|lacking honor or integrity|deserving dishonor
unprovable	not provable; "it was both unproved and unprovable"|not provable
smilingly	with smiles; in a smiling manner; "the girl reminded her smilingly of their childhood spent together"|with smiles|in a smiling manner
polyoma	ポリオーマ
horseshit	たわごと|くだらないこと|くだらん|ばかな
chiton	ヒザラガイ|ヒザラガイ
butanone	メチルエチルケトン
seating	座席
tombaugh	トンボー
curare	クラーレ(南米原住民が矢じりに塗る植物から採った毒)
quahog	ホンビノスガイ(殻の厚い食用貝)
intrusiveness	aggressiveness as evidenced by intruding; by advancing yourself or your ideas without invitation|aggressiveness as evidenced by intruding|by advancing yourself or your ideas without invitation
assize	〈U〉判事と陪審員による裁判|《複数形》《英》巡回裁判(ロンドンから定期的にイングランドの各州に裁判官が派遣されて行う裁判)
gingersnap	ショウガ入りクッキー
ducat	ダカット金貨(昔欧州で使用された)
notochord	脊索
lespedeza	shrubby or herbaceous plants widely used for forage, soil improvement, and especially hay in southern United States
elasmobranch	板鰓類
epigraphy	墓碑銘学|《集合的に》碑銘|碑文
boatbuilder	舟大工
openwork	(彫金・織物などの)すかし細工
hundredfold	100倍の
lopper	a long-handled pruning saw with a curved blade at the end and sometimes a clipper; used to prune small trees|a long-handled pruning saw with a curved blade at the end and sometimes a clipper|used to prune small trees
unsupportable	not able to be supported or defended
basileus	バシレウス
knickerbockers	ニッカーズボン(ひざの下でくる緩い半ズボン)
capybara	カピバラ
ephemerid	short-lived insect
induration	硬化
stroheim	シュトロハイム
sudsy	resembling lather or covered with lather
stonecrop	ベンケイソウ|弁慶草
slowpoke	のろま|時代遅れの人
rarify	凝る|精密化する|精緻化する|一捻|一捻り
goethals	ゴーサルズ
shallowly	in a shallow manner
towboat	引き船
ventrally	in a ventral location or direction
