burg	(独語他に由来)|市|町|(地名接尾辞の一種|単語のあとにつけ場所を表す)
polity	政治形態(組織)|政治的組織体|国家組織
considerate	思いやりのある
extraneous	異質の|無関係な|外来の|外側の|無関係の
amalgamation	合併|融合|アマルガム化|合同|混合物|合同体
platypus	カモノハシ
thereunder	その下に|それ以下に
pacifier	調停者|(赤ん坊用)ゴム乳首|おしゃぶり
mohair	アンゴラヤギから作られる織物
basso	〈C〉低音歌手|〈V〉低音
chore	家庭での雑用|雑用|雑役
crockery	陶器類
preemptive	先制の|先買の|先買権のある先制の
bulldozer	ブルドーザー|脅迫者
counterterrorism	テロ対策
taskforce	(特殊任務を帯びた)軍の機動部隊|(一般に)対策本部|対策委員会
astrophysical	天体物理学の
pairwise	対で起きる
ogle	女性に色目を使う|例He was not in the habit of ogling women
shortcake	《米》いちご・甘く味付けした果物などをあしらったケーキ|《英》厚手の
fondly	優しく
whither	そこへ|何処へ
outfitter	装身具製造業者
immunological	免疫学的な
preservative	保存の|予防法
famously	有名|著名な
controllable	制御可能な
prescriptive	慣例による|規定する|規範的な|指令を与える|時効取得された
salaried	給料を受けている
southward	南へ(の)
taxicab	タクシー
intolerant	耐えられない|狭量(偏狭)な|(宗教上)異説をいれない
manhole	マンホール|集合場所|肛門
orthodontic	歯列矯正の
snub	けんつく|ひじ鉄砲|を鼻であしらう|冷遇|厳しい叱責
lithography	石版刷り
cashew	カシュー(熱帯アメリカ産ウルシ科植物)
chipper	元気のよい
subheading	(新聞などの)小見出し
schizophrenic	統合失調症の
knitter	編む人|編み機
suburbia	郊外|郊外居住者(住民)
propellant	(ロケットの)推進燃料|高圧ガス|推進薬|発射火薬|発射薬
optimally	最適に
embryology	発生学|胎生学
styrene	スチレン|スチロール(合成ゴムの原料)
inducible	誘導性
misconception	誤解
rudimentary	初歩の|基本の|未発達の
riesling	リースリング(ドイツの白ワイン)|リースリング用ブドウ
settler	入植者|移民者
rabble	野次馬|やじうま
skirmish	小ぜりあい(をする)
allergen	アレルゲン(ドイツ語)とは|アレルギー疾患を持っている人の抗体と特異的に反応する抗原のこと|一般にそのアレルギー症状を引き起こす原因となるアレルギー物質を言う
overseer	監督者
insurgent	反乱を起こした|反政府の|暴徒|反乱者|反政府運動家|反対分子
crystallography	結晶学
rightfully	当然
gallbladder	胆嚢(胆汁をたくわえる)
nightwear	寝巻
sconce	(壁などの)突き出し燭台(しょくだい)
shutout	締め出し
stagnant	よどんだ|活気のない|停滞した|不景気な
lactic	乳の
cleanly	きれい好きな|清潔に
unclean	汚れた
molasses	糖液|糖蜜
squeal	キーキー鳴く|キーキーいう|金切り声をあげる|キーッ|車が急停車する音
numbness	しびれ感
murky	暗い|陰気な|曇っている|理解しにくい
acetylcholine	アセチルコリン|神経伝達物質の名称|コリン(choline)の誘導物である
magnetometer	磁力計(地球の磁場の強さを測定する計器)
wop	《禁句》|外人としてのイタリア人|イタリア系外人
forsake	をやめる|捨てる|を放棄する
sliver	細長く裂く|縦に長く切る
tinnitus	耳鳴り
batsman	(クリケットの)打者(batter)
collusion	共謀|なれ合い|野合|通謀詐害(両当事者の間に対立がないのに双方の合意のうえで訴訟を起こすこと)
downer	(俗)鎮静剤|(特に)バルビツール剤|気の滅入るような場面|経験|退屈な人物
burl	節|試してみること|やってみること|トライ
sequestration	隔離|隠蔽|仮差押え|没収
oxidant	酸化体|オキシダント(光化学スモッグの主要原因で過酸化物質の総称)
rigorously	厳密に
erroneously	誤って
especial	特別な|特別の
multipoint	マルチポイントの
placard	プラカード
huckleberry	ハックルベリー|コケモモという低木の青黒い実
reminisce	思い出を語る|追憶する|追憶にふける|の思い出を語る
girth	取巻く|周囲の寸法|腹帯|帯げた|胴差し|胴まわり
restatement	修正再表示
grouper	共同出資で別荘などを借りる若者
argh	なんてこった
planting	植林
purposeful	目的のある|意味深長の
fete	祭|にぎやかな催し|祝典|祝宴|祭日|祝う|celebrate
hydrangea	(pl|hydrangeas)|アジサイ|あじさい|紫陽花
procrastination	優柔不断
gauze	ガーゼ
bronchial	気管支の
perishable	だめになりやすい|腐りやすい|滅びやすい|(複数形で)腐りやすい食品
calorimeter	熱量計
nanoscale	ナノスケール
forceful	力のある|力強い
unilaterally	一方的に
hypoglycemia	低血糖症|血糖減少症
sodomy	男色|獣姦 
populist	人民党員|人民党の
beaker	ゴブレット|ビーカー
conditionally	条件付きで
dulcimer	ダルシマー|小さなハンマー(槌)で打って発振する台形の弦楽器
acyl	アシル基(Acyl group)|有機化学でカルボン酸(カルボキシ基(−COOH)を有する有機酸)からOHを抜いた|R-CO-という形の基を指す
subterranean	地下で働く人|地下の|隠れた
quibble	へりくつを言う|ごまかす|言抜ける
disconnection	切断|分離|断絶;(電気・電話の)断線
truncation	打切り|切断すること
untimely	早すぎる|季節外れの|時ならぬ|折りの悪い
riyal	riyal(rialも使う)|複数の中東諸国の通貨単位|語源はスペインの旧通貨やブラジルの通貨レアルreal|語源はスペイン語|ポルトガル語のreal(王の)|英語のロイヤルroyal
reflexive	再帰動詞(代名詞)|再帰の
idiom	慣用語法|慣用法|熟語|成句|イディオム
legitimately	合法的に
rah	フレー|がんばれ
saggy	たるんだ
unwelcome	歓迎されない|もてない|ありがたくない
puss	(俗)ねこちゃん|女の子|(Puss in Boots|長ぐつをはいた猫|17C末からヨーロッパに伝わる民話)
northbound	北方行きの
confederacy	同盟国|連合
midweek	週の真ん中
rialto	リアルト|劇場街|市場|取引所
fallback	いざという時の頼り|撤退
gamut	全領域|全範囲|全音階
unedited	未編集の
dainty	きゃしゃな|優美な|上品な|繊細な|おいしい
amphibious	水陸両生の
congregate	集まる|集める
marigold	キンセンカ|センジュギク属
eyesight	視力
parson	教区牧師|牧師|聖職者
forgo	を差し控える|～なしで済ませる|do without|をやめる
sojourn	短期間滞在する|(一時的に)滞在(する)
amphitheatre	円形競技場
citywide	市全域の
franchisee	(製造主から)一手販売権を与えられた人
slinky	しなやかな|セクシーな|腰をくねらす|内緒の|コソコソした
precarious	推定的|心許ない|おぼつかない|人頼みの|他人の意志次第の|不安定な|危ない
entanglement	もつれること
arbiter	(運命などの)決定者|(趣味･作法などの)権威者|調停者
postmenopausal	閉経後
topographical	地理的
dreary	荒涼とした|わびしい
declination	傾き|衰退|辞退|赤緯|(物理)磁気偏差
horrid	ひどくいやな|恐ろしい
dryness	乾燥
wreckage	漂着物|残骸|脱落者|難破|破壊|難破船|大破|挫折
arty	芸術家ぶった(気取りの)|芸術品まがいの|こりすぎた
avenge	あだを討つ|復讐する
multifunctional	多機能の
ingest	摂取する
overlord	大君主
transfected	遺伝子導入された|形質移入された
unprepared	準備なしの|準備がされていない|即席の|不意の
compo	=composition5
treacherous	信用を裏切る|信頼できない|当てにならない|(安全そうで)危険な
carnal	肉体の|肉感的な|肉欲的な|現世的な|浮世の
larceny	窃盗罪|盗み
furlong	ハロン(長さの単位=1|8 mi)
polymorphic	多形の
snappy	コントラストの強い|快活な|活発な|しゃれた|パチパチ音がする
bandera	旗
washroom	手洗所
youngster	若者|子供
enigmatic	謎めいた|不可解な|謎の
herbarium	植物標本集|植物標本室
chirp	チッチッと鳴く|チュッチュッ|チーチー|鳥の鳴き声
woodman	木樵|きこり|(=woodsman)
kestrel	チョウゲンボウ(ハヤブサの一種の鳥)
climatology	気候学
accede	同意する|(職など)に就く|加盟する|後を継ぐ
chamomile	=camomile
expel	(害虫を)駆除する|駆逐する|を追い出す|を追放する|を放出する|発射する
supplant	に取って代わる
triangulation	三角測量
methylation	メチル化
frighten	をおびえさせる|ぞっとさせる
prostatic	前立腺の
cabal	(政治的な)秘密結社|陰謀|徒党|同人グループ
rubella	=German measles
constitutive	構成的な
cooperatively	協調的に
inseam	(ズボンのすその折り返し|靴などの)内側の縫い目
jobless	失業中の|失業者の
disgruntle	不機嫌にする|不満を持たせる
watchful	用心深い|用心した
parlay	賭の元金と配当もさらに賭けていく
disintegration	分解|崩壊|分裂|分散
democratization	民主化
cilantro	セリ科の一年草(英語でcoriander)のスペイン語名|スープやサルサなどに広く用いられる
savant	(専門分野)学識豊富な人|学者
gunshot	銃声|砲撃(音)|着弾距離|射程
terracotta	(堅い耐火煉瓦)テラコッタ(製品)|濃い茶色
glob	(液体の)小滴|一滴|(クリームなどの)丸いかたまり
idyllic	田園詩(風)の|牧歌的な|すばらしい|美しい
publicist	国際法学者|宣伝係|政治評論家
contributory	寄与する|貢献して|あずかって|寄付の
wail	不平を言う|嘆き悲しむ|泣き叫ぶ|嘆き悲しみ
medalist	メダリスト|メダル獲得者|メダル製作家
crucifixion	十字架
softener	ソフナー|軟化剤|洗濯用柔軟剤|柔らかくする人|和らげる人|軟化装置
madly	気が狂ったように|狂ったかのように
pyruvate	ピルビン酸塩|ピルビン酸(Pyruvic acid)の誘導体は|抗がん剤として研究されている
logger	木こり|ロガー|丸太を積み込む機械|丸太運搬トラクター|自記計測器|自動記録器|重い|太った|鈍い
whew	ひゃぁ!|ヒャア|ヘエッ
rater	評価者
conformational	立体配座の
impressionism	印象派
thereupon	その後ただちに|その結果|それゆえに
archer	弓の射手
steamer	蒸し器|蒸気機関
subdomain	サブドメイン
alabaster	雪花石膏|白くなめらかな
abnormality	普通でないこと･もの|異常|奇形|(体の)変調|障害
varicose	静脈瘤(りゅう)の|静脈怒張の(特に足の血管が異常にふくれること)
coercive	強制的な
romanticism	ロマン主義|空想的気分
misrepresent	誤り伝える
cautionary	警戒的な
spotter	即座の
outcry	声高な叫び|抗議|怒号
epitaph	墓碑銘|墓誌|碑文
siphon	サイフォン|吸い上げる
unthinkable	全く考えられない
antisocial	社交ぎらいの
sundown	日没
scant	わずかな|乏しい|不十分な|狭い
doorbell	戸口のベル
sorely	痛ましく|痛ましいほど|ひどく
hamstring	骨抜きにする
infuse	注入する|(思想など)を吹き込む|奮い立たせる
glee	喜び|大喜び|(他人の失敗･不幸を見て)ほくそ笑むこと|グリー|三声またはそれ以上の無伴奏声歌曲
ejaculate	急に叫ぶ|射出する|射精する
