loony	頭がおかしい
narcissus	スイセン|(N-:ギリシア神話)ナルキッソス
subdue	を征服する|を抑える|鎮圧する|抑制する|緩和する
electrification	充電|感電|強い興奮|強く感動させること
peninsular	半島(状)の|イベリア半島の
composure	落ち着き|落着き|沈着|平静
finitely	有限の
birthright	生得(せいとく|しょうとく)権|生まれながらに持っている権利|(例|米国領土内で生まれた子は市民権条項(Citizenship Clause)により自動的に米国市民権を持つ等)
corny	つまらない|古くさい|ださい|穀物の
histocompatibility	組織適合性
errant	誤った|正道からはずれた|(諸国)遊歴の|冒険的遍歴の
musicale	社交音楽会;(非公開の)音楽演奏会
heifer	(まだ子供を産んでいない)若い雌牛(女性)
earthen	土製の|陶製の
sulfuric	イオウの|イオウを含む|硫酸
rendering	完成予想図
portcullis	落とし門(攻撃に対して直ちに開閉できる鉄格子の城門など)
operon	オペロン(Operon)|一つの転写因子によって同時に発現が制御される複数の遺伝子が存在するゲノム上の領域|あるいはその複数の遺伝子の組のこと
ultimatum	最後通牒|最後の言葉|最後の申し出|根本原理
stratigraphy	層位学|層序学(地質学の一部門)
spoonful	一さじ|スプーン一杯(分)
desirous	欲している
surefire	必ずうまくいく|成功疑いなしの
waterworks	水道設備|上水道
captivate	の心を捕える|を魅惑する|人をうっとりさせる
wench	(特に田舎の)女の子|娘;淫婦
rummage	くまなく捜す
unionist	組合員
discernible	認識できる|識別し得る
intercession	仲裁
best	ベストの|最もよく
orator	雄弁家|演説者
homophobic	同性愛嫌悪症の
diamondback	ヒシモンガラガラヘビ(ひし形の斑(はん)点がある毒蛇)
retrace	さかのぼる|回顧する
lode	鉱脈|鉱床
epidermis	表皮
peptic	消化を助ける|消化力のある|ペプシンの|消化液が引き起こす|消化剤;《複数形で》消化器官
pendent	ぶら下がった|垂れ下がった|張り出た|覆いかぶさった|未決定の|=pendant
sparingly	不足して
hypothalamus	視床下部|間脳(視床の前下方)に位置し|自律機能の調節を行う総合中枢
priestly	聖職者の|僧らしい
seaplane	水上飛行機
insomniac	不眠症患者
conspicuously	目立って
breaststroke	平泳ぎ
blip	レーダーに映るシグナル|(不隠当な発言を妨害する)中断音
eagerness	熱心
pearly	真珠のような|真珠で飾った
letterbox	=mailbox
polemic	論争の|論客|論争
dietician	栄養学者|栄養士|食事療法士
roadhouse	街道沿いの旅館|居酒屋
minefield	地雷(機雷)敷設面|地雷原(機雷)原
doublet	(文法)accusative case対格|名詞がもつ格のひとつ|他動詞の直接目的語を示す時使われる(ご飯を作る|など)|対格は全印欧語族に存在
recklessly	無謀にも
phospholipase	リン脂質を脂肪酸とその他の親油性物質に加水分解する酵素
transformative	変形させる
anhydrous	無水
germplasm	胚(はい)原質|生殖質|遺伝資源
parkin	パーキン|(オートミール･ショウガ･糖蜜で作るケーキ)
roan	(馬などが)あし毛の|あし毛の動物(特に|馬)|あし毛色
blimp	小型飛行船|でぶ|ブタ|頭の固い保守的な人
ravioli	ラビオリ(こまぎれ肉を小麦粉の薄皮で包んだ料理)
cropland	耕作に適した土地
trundle	ごろごろ動く|転がす
periwinkle	[ツル]ニチニチソウ
racy	ちょっときわどい|きびきびした|本場の
haystack	干し草の山|hayrick
flit	かろやかに飛ぶ|ひらひら飛回る
topsoil	表土
spate	大量|豪雨|大水
hypnotist	催眠術師
screech	かんだかい声(をあげる)|金切り声(で叫ぶ)|ブレーキをきーっとかける(音)|キーッ
domestication	家畜化|野生動物の家畜化
outwardly	外面的に
tumultuous	騒然とした|騒動を起こす|騒々しい|ひどく興奮した
symbiotic	共生の
wattle	(鶏などの)肉垂(にくすい)|ワットル(マメ科アカシア属(Acacia)の総称|黄色の花が咲く大木|オーストラリアの国花)|編み枝(細工)
zany	道化師|ばか者|おどけ者|おどけた|ばかげた
squirter	(液体の)噴出器|噴霧器
polyvinyl	ポリ［重合］ビニールの・ポリビニールの
ganglion	(gˈæŋgliən)(複|ganglia)|神経節|ガングリオン|結節腫(主に手首にできる良性の嚢腫)|知的･産業的活動の)中心|中枢
unimaginable	想像できない
gavel	(議長･裁判官･競売人などが静粛を促すときに卓上をたたく)小槌
moonshine	(俗)密造ウイスキー
centimeter	センチメートル
idolatry	偶像(邪神)崇拝|盲目的崇拝|心酔
firework	花火|才気のひらめき
involuntarily	無意識に|思わず知らずに
aggravate	悪化させる|怒らせる|悩ませる
adoptee	里親
grandmaster	チェス名人|《G- M-》(騎士団・友愛会などの)団長|会長
historiography	歴史学|史書|(記録された)史実|(厳正な)歴史記述|正史
militarism	軍国主義|軍人魂
glassy	どんよりした|ガラス状の
gash	深傷|長く深い切り傷
shrill	鋭い音を出す|鋭い|かん高い
homozygous	ホモ接合型|同型接合体とも呼ばれ|遺伝学で二倍体生物のある遺伝子座がAA|aa のように同じ対立遺伝子からなる状態のこと
guillotine	断裁機|ギロチン|断頭台|ギロチンの刑|打ち切る
discussant	討論者
utensil	器具|(台所･酪農場などの)道具
stopover	途中下車の
misfit	合わないこと|不釣り合い|不適任者
afflict	苦しめる|悩ます
quotable	引用する価値のある
zirconium	ジルコニウム(金属元素;化学記号は Zr)
alternation	交代|交互
naturalistic	自然のままの|自然を模倣する|自然誌研究の|自然主義の|博物学の
dogmatic	独断的な|教義上の|教理に関する|独断主義の
rectification	改正|修正|調整|(化学)精溜|(電気)整流
surly	険悪な
preeminent	卓越した
swoon	気絶(する)|次第に消えていく|衰える
nonparametric	ノンパラメトリック|(統計用語)母数によらない|統計のパラメーターに関わらない
consignee	(商品の)荷受人;受託者
mistral	(仏語)ミストラル|フランスの地中海岸に吹く北風
admirer	賞賛者|崇拝者
gringo	(中南米地方で)外国人|特に英米人(軽蔑的)
wanderlust	旅行熱|放浪癖
immediacy	直接|直接性|即時性|直感|直覚
aviary	(大きい)鳥のおり|鳥類飼育場
candor	率直|正直|虚心坦懐|率直さ|公平無私|親切|白さ|純真無垢
gasification	ガス化
sundae	サンデー|トッピングが載ったアイスクリーム
assassinate	暗殺する
pinewood	松材|松林
tangential	接線の
croissant	クロワッサン|三日月パン
pucker	しわを寄せる|ひだ
homily	説教|訓戒|くだくだしい小言
glebe	〈U〉《詩》土|土壌|〈U〉〈C〉(またglebeland)《英》小教区教会耕地|聖職領畑地
maelstrom	大渦巻き|大動揺|大混乱
scuttle	やめる|急いで行く|ほうほうの体で逃げる|小窓|石炭入れ|バケツ
salami	サラミソーセージ
dank	じめじめした|湿っぽくてうすら寒い|湿っぽい
affectionately	愛情をこめて
dodgeball	ドッジボール
uneducated	教育を受けていない|無教育の|無学の
alopecia	脱毛症
anchovy	アンチョビー(地中海原産のカタクチイワシ科の魚)|その塩漬|オリーブ漬
beachside	浜辺の
proportionately	比例して
bothersome	面倒な
draconian	(法律など)(きわめて)厳しい|苛酷な
pupa	さなぎ
cowbell	牛鈴(牛のいる場所がわかるように牛の首につるした鈴)
articular	関節の
sandstorm	砂あらし
mete	を割り当てる|分け与える|計測|計量
turban	ターバン(回教徒が頭に巻く)|ターバン風婦人帽
duchy	公爵領|公国
autocorrelation	自己相関
wadi	ワジ|かれ谷(アラビア･北アフリカ地方の雨期以外は水がない谷川)
fain	喜んで|快く|(I would fain give up the sword|棄つべきものは弓矢なり)
guanine	グアニンは核酸を構成する5種類の主な塩基のうちのひとつ|グアニンから誘導されるヌクレオシドはグアノシン|魚類の銀白色部位を構成する主要成分である
firecracker	爆竹|爆弾|爆筒|癇癪玉|魚雷
cruelly	残酷に|残酷|無情
tapioca	タピオカ(cassavaの根からつくった食用でんぷん)
drowsy	眠けを誘う|眠い
unproven	証明されていない
bushel	ヤード･ポンド法における体積(容積)の単位|液体の計量には用いられず|乾量|特に穀物の計量に用いられる|約35 リットル
myocardium	心筋
nightline	ナイトライン
trice	瞬間
cursive	(筆跡が)続け書きの|筆記体の|筆記体の文字(活字)
admonition	警告|説諭|訓戒|勧告|忠告
sedition	扇動|騒乱
photosynthetic	光合成の
ghastly	青ざめた|恐ろしい
vaudeville	寄席演芸|ボードビル|軽い喜歌劇
unapproved	承認されていない|認められていない
muslin	モスリン(木綿や羊毛などの梳毛(そもう)糸を平織りにした薄地の織物)|綿モスリン|キャラコ(インド産の平織りの綿布)
mumble	(口の中で)もぐもぐ言う|ぶつぶつ言う|つぶやく
rhinoceros	サイ(犀) rhino
aberrant	正道をはずれた|常軌を逸した|異常な
stalemate	行き詰まらせる|引き分け|手詰まり|行き詰まり
inquisitive	せんさく好きの
earner	儲かる仕事|儲けになる仕事|稼ぎ手|稼ぐ人|取る人|賄賂
deflate	の空気を抜く|空気を抜く|収縮させる|(反)inflate
coinage	貨幣鋳造|貨幣制度|新語|新造語
menagerie	野生動物|野生動物園
thrombin	トロンビン|蛋白質分解酵素のプロテアーゼの一種|血液凝固の際に水溶性のフィブリノーゲンを不溶性のフィブリンとする作用を持つ
laminar	層流の
scold	がみがみ女|説教する|叱る(rebuke)
apprehensive	心配した|心配して|理解力の鋭い
toga	トーガ(古代のローマの外衣)|(裁判官･教授)職服
perpetuity	永続|不滅
landfall	陸地接近|地滑り|山崩れ|圧勝
methyltransferase	メチルトランスフェラーゼ|メチル基を供与体から受容体へ転移させる転移酵素の一群
laity	信者たち|しろうと連|俗人連|平信徒
purposefully	意図的に
broadside	舷側(げんそく|船体の側面|ふなばた|ふなべり)
sedate	落ち着かせる|平静な
itinerant	巡回する|巡歴の|遍歴中の
reelection	改選|再選
vitreous	ガラス質の
litany	嘆願|退屈な話|呪文のように繰り返すこと
coloration	着色(法)|色合い|血色|天然の色|音声の調子|考え方|態度
